n_gw,n_max_sm,z,n_pub,n_total,pub_ratio,d_t,scenario,dist_sm,seed
5,20,1,4032,4032,1.0,7260,centralized,normal,1
5,20,1,4320,4320,1.0,7260,centralized,normal,2
5,20,1,3840,3840,1.0,7260,centralized,normal,3
5,20,1,4224,4224,1.0,7260,centralized,normal,4
5,20,1,4608,4608,1.0,7260,centralized,normal,5
5,20,1,4032,4032,1.0,7260,deZent,normal,1
5,20,1,4320,4320,1.0,7260,deZent,normal,2
5,20,1,3840,3840,1.0,7260,deZent,normal,3
5,20,1,4224,4224,1.0,7260,deZent,normal,4
5,20,1,4608,4608,1.0,7260,deZent,normal,5
5,20,1,4032,4032,1.0,7260,fully_decentralized,normal,1
5,20,1,4320,4320,1.0,7260,fully_decentralized,normal,2
5,20,1,3840,3840,1.0,7260,fully_decentralized,normal,3
5,20,1,4224,4224,1.0,7260,fully_decentralized,normal,4
5,20,1,4608,4608,1.0,7260,fully_decentralized,normal,5
